movie_title;score;num_votes;num_reviews;link
Shutter Island;8.1;786092;964.0;http://www.imdb.com/title/tt1130884/
The Green Mile;8.5;782610;1377.0;http://www.imdb.com/title/tt0120689/
American History X;8.6;782437;1420.0;http://www.imdb.com/title/tt0120586/
The Wolf of Wall Street;8.2;780588;1138.0;http://www.imdb.com/title/tt0993846/
Terminator 2: Judgment Day;8.5;744891;983.0;http://www.imdb.com/title/tt0103064/
The Usual Suspects;8.6;740918;1182.0;http://www.imdb.com/title/tt0114814/
Braveheart;8.4;736638;1065.0;http://www.imdb.com/title/tt0112573/
Kill Bill: Vol. 1;8.1;735784;2105.0;http://www.imdb.com/title/tt0266697/
Back to the Future;8.5;732212;809.0;http://www.imdb.com/title/tt0088763/
Goodfellas;8.7;728685;989.0;http://www.imdb.com/title/tt0099685/
WALL·E;8.4;718837;1043.0;http://www.imdb.com/title/tt0910970/
The Sixth Sense;8.1;704766;2073.0;http://www.imdb.com/title/tt0167404/
The Hunger Games;7.3;701607;1959.0;http://www.imdb.com/title/tt1392170/
Iron Man;7.9;696338;1055.0;http://www.imdb.com/title/tt0371746/
Finding Nemo;8.2;692482;866.0;http://www.imdb.com/title/tt0266543/
Guardians of the Galaxy;8.1;682155;1097.0;http://www.imdb.com/title/tt2015381/
Star Wars: Episode VI - Return of the Jedi;8.4;681857;647.0;http://www.imdb.com/title/tt0086190/
One Flew Over the Cuckoo's Nest;8.7;680041;760.0;http://www.imdb.com/title/tt0073486/
The Truman Show;8.1;667983;877.0;http://www.imdb.com/title/tt0120382/
Eternal Sunshine of the Spotless Mind;8.3;666937;1514.0;http://www.imdb.com/title/tt0338013/
Up;8.3;665575;704.0;http://www.imdb.com/title/tt1049413/
Reservoir Dogs;8.4;664719;931.0;http://www.imdb.com/title/tt0105236/
Raiders of the Lost Ark;8.5;661017;771.0;http://www.imdb.com/title/tt0082971/
Sin City;8.1;656640;1732.0;http://www.imdb.com/title/tt0401792/
The Lion King;8.5;644348;656.0;http://www.imdb.com/title/tt0110357/
Slumdog Millionaire;8.0;641997;1017.0;http://www.imdb.com/title/tt1010048/
Toy Story;8.3;623757;391.0;http://www.imdb.com/title/tt0114709/
Jurassic Park;8.1;613473;895.0;http://www.imdb.com/title/tt0107290/
No Country for Old Men;8.1;612060;1518.0;http://www.imdb.com/title/tt0477348/
A Beautiful Mind;8.2;610568;1171.0;http://www.imdb.com/title/tt0268978/
300;7.7;607235;2073.0;http://www.imdb.com/title/tt0416449/
Good Will Hunting;8.3;604904;682.0;http://www.imdb.com/title/tt0119217/
Snatch;8.3;600996;726.0;http://www.imdb.com/title/tt0208092/
The Terminator;8.1;600266;692.0;http://www.imdb.com/title/tt0088247/
Die Hard;8.2;592582;722.0;http://www.imdb.com/title/tt0095016/
Monsters, Inc.;8.1;585659;593.0;http://www.imdb.com/title/tt0198781/
The Hangover;7.8;583341;626.0;http://www.imdb.com/title/tt1119646/
Gravity;7.8;582917;1885.0;http://www.imdb.com/title/tt1454468/
Donnie Darko;8.1;580999;2110.0;http://www.imdb.com/title/tt0246578/
Requiem for a Dream;8.4;573541;1916.0;http://www.imdb.com/title/tt0180093/
Gone Girl;8.1;569841;1127.0;http://www.imdb.com/title/tt2267998/
Alien;8.5;563827;1110.0;http://www.imdb.com/title/tt0078748/
Gran Torino;8.2;561773;871.0;http://www.imdb.com/title/tt1205489/
Iron Man 3;7.2;557489;1187.0;http://www.imdb.com/title/tt1300854/
Mad Max: Fury Road;8.1;552503;1588.0;http://www.imdb.com/title/tt1392190/
Black Swan;8.0;551363;1140.0;http://www.imdb.com/title/tt0947798/
Man of Steel;7.2;548573;2536.0;http://www.imdb.com/title/tt0770828/
Toy Story 3;8.3;544884;733.0;http://www.imdb.com/title/tt0435761/
Spider-Man;7.3;544665;2012.0;http://www.imdb.com/title/tt0145487/
Scarface;8.3;537442;851.0;http://www.imdb.com/title/tt0086250/
The Big Lebowski;8.2;537419;1028.0;http://www.imdb.com/title/tt0118715/
Thor;7.0;536314;738.0;http://www.imdb.com/title/tt0800369/
Star Wars: Episode I - The Phantom Menace;6.5;534658;3597.0;http://www.imdb.com/title/tt0120915/
Amélie;8.4;534262;1314.0;http://www.imdb.com/title/tt0211915/
Silver Linings Playbook;7.8;533607;692.0;http://www.imdb.com/title/tt1045658/
City of God;8.7;533200;749.0;http://www.imdb.com/title/tt0317248/
District 9;8.0;531737;1262.0;http://www.imdb.com/title/tt1136608/
I Am Legend;7.2;530870;1413.0;http://www.imdb.com/title/tt0480249/
Catch Me If You Can;8.0;525801;667.0;http://www.imdb.com/title/tt0264464/
Iron Man 2;7.0;522371;723.0;http://www.imdb.com/title/tt1228705/
Pirates of the Caribbean: Dead Man's Chest;7.3;522040;1832.0;http://www.imdb.com/title/tt0383574/
Skyfall;7.8;522030;1498.0;http://www.imdb.com/title/tt1074638/
Star Wars: Episode III - Revenge of the Sith;7.6;520104;3286.0;http://www.imdb.com/title/tt0121766/
X-Men: First Class;7.8;518537;698.0;http://www.imdb.com/title/tt1270798/
Indiana Jones and the Last Crusade;8.3;515306;477.0;http://www.imdb.com/title/tt0097576/
X-Men: Days of Future Past;8.0;514125;752.0;http://www.imdb.com/title/tt1877832/
Transformers;7.1;513158;1782.0;http://www.imdb.com/title/tt0418279/
Kill Bill: Vol. 2;8.0;512749;935.0;http://www.imdb.com/title/tt0378194/
Captain America: The First Avenger;6.9;508818;679.0;http://www.imdb.com/title/tt0458339/
Star Trek;8.0;504419;1559.0;http://www.imdb.com/title/tt0796366/
The King's Speech;8.0;503631;636.0;http://www.imdb.com/title/tt1504320/
The Good, the Bad and the Ugly;8.9;503509;780.0;http://www.imdb.com/title/tt0060196/
The Hunger Games: Catching Fire;7.6;498397;706.0;http://www.imdb.com/title/tt1951264/
The Pianist;8.5;497946;761.0;http://www.imdb.com/title/tt0253474/
Captain America: The Winter Soldier;7.8;496749;742.0;http://www.imdb.com/title/tt1843866/
The Bourne Ultimatum;8.1;491077;820.0;http://www.imdb.com/title/tt0440963/
Aliens;8.4;488537;1076.0;http://www.imdb.com/title/tt0090605/
How to Train Your Dragon;8.2;485430;492.0;http://www.imdb.com/title/tt0892769/
Taken;7.9;483756;974.0;http://www.imdb.com/title/tt0936501/
The Hobbit: The Desolation of Smaug;7.9;483540;951.0;http://www.imdb.com/title/tt1170358/
Million Dollar Baby;8.1;482064;1106.0;http://www.imdb.com/title/tt0405159/
The Social Network;7.7;479453;696.0;http://www.imdb.com/title/tt1285016/
The Incredibles;8.0;479166;815.0;http://www.imdb.com/title/tt0317705/
Deadpool;8.1;479047;1058.0;http://www.imdb.com/title/tt1431045/
Sherlock Holmes;7.6;477300;621.0;http://www.imdb.com/title/tt0988045/
The Grand Budapest Hotel;8.1;475518;644.0;http://www.imdb.com/title/tt2278388/
Ratatouille;8.0;473887;626.0;http://www.imdb.com/title/tt0382932/
The Martian;8.1;472488;1023.0;http://www.imdb.com/title/tt3659388/
Ted;7.0;471644;623.0;http://www.imdb.com/title/tt1637725/
Pirates of the Caribbean: At World's End;7.1;471220;1238.0;http://www.imdb.com/title/tt0449088/
Casino Royale;8.0;470483;2301.0;http://www.imdb.com/title/tt0381061/
Trainspotting;8.2;469561;514.0;http://www.imdb.com/title/tt0117951/
The Imitation Game;8.1;467613;608.0;http://www.imdb.com/title/tt2084970/
Pan's Labyrinth;8.2;467234;1083.0;http://www.imdb.com/title/tt0457430/
Shrek;7.9;467113;945.0;http://www.imdb.com/title/tt0126029/
World War Z;7.0;465019;995.0;http://www.imdb.com/title/tt0816711/
Star Wars: Episode II - Attack of the Clones;6.7;464310;3516.0;http://www.imdb.com/title/tt0121765/
Avengers: Age of Ultron;7.5;462669;1117.0;http://www.imdb.com/title/tt2395427/
Blade Runner;8.2;461609;1168.0;http://www.imdb.com/title/tt0083658/
The Curious Case of Benjamin Button;7.8;459346;822.0;http://www.imdb.com/title/tt0421715/
Prometheus;7.0;456260;2326.0;http://www.imdb.com/title/tt1446714/
X-Men;7.4;452928;1401.0;http://www.imdb.com/title/tt0120903/
Argo;7.7;452465;695.0;http://www.imdb.com/title/tt1024648/
The Amazing Spider-Man;7.0;451803;1225.0;http://www.imdb.com/title/tt0948470/
Apocalypse Now;8.5;450676;983.0;http://www.imdb.com/title/tt0078788/
Now You See Me;7.3;447979;629.0;http://www.imdb.com/title/tt1670345/
Harry Potter and the Sorcerer's Stone;7.5;444683;1571.0;http://www.imdb.com/title/tt0241527/
Life of Pi;8.0;440084;755.0;http://www.imdb.com/title/tt0454876/
12 Years a Slave;8.1;439176;695.0;http://www.imdb.com/title/tt2024544/
Groundhog Day;8.1;437418;609.0;http://www.imdb.com/title/tt0107048/
Kick-Ass;7.7;435864;801.0;http://www.imdb.com/title/tt1250777/
Edge of Tomorrow;7.9;431620;741.0;http://www.imdb.com/title/tt1631867/
Drive;7.8;431578;1264.0;http://www.imdb.com/title/tt0780504/
Independence Day;6.9;430055;856.0;http://www.imdb.com/title/tt0116629/
Looper;7.4;428916;667.0;http://www.imdb.com/title/tt1276104/
2001: A Space Odyssey;8.3;427357;1736.0;http://www.imdb.com/title/tt0062622/
Into the Wild;8.2;426359;760.0;http://www.imdb.com/title/tt0758758/
Superbad;7.6;422606;555.0;http://www.imdb.com/title/tt0829482/
Psycho;8.5;422432;1040.0;http://www.imdb.com/title/tt0054215/
The Matrix Reloaded;7.2;421818;2789.0;http://www.imdb.com/title/tt0234215/
Frozen;7.6;421658;904.0;http://www.imdb.com/title/tt2294629/
Jurassic World;7.0;418214;1290.0;http://www.imdb.com/title/tt0369610/
Spirited Away;8.6;417971;902.0;http://www.imdb.com/title/tt0245429/
Lock, Stock and Two Smoking Barrels;8.2;414976;523.0;http://www.imdb.com/title/tt0120735/
Juno;7.5;414335;881.0;http://www.imdb.com/title/tt0467406/
L.A. Confidential;8.3;414219;625.0;http://www.imdb.com/title/tt0119488/
Thor: The Dark World;7.1;414070;532.0;http://www.imdb.com/title/tt1981115/
Jaws;8.0;412454;962.0;http://www.imdb.com/title/tt0073195/
Spider-Man 2;7.3;411164;1303.0;http://www.imdb.com/title/tt0316654/
21 Jump Street;7.2;408302;345.0;http://www.imdb.com/title/tt1232829/
The Bourne Identity;7.9;407601;849.0;http://www.imdb.com/title/tt0258463/
The Revenant;8.1;406020;1188.0;http://www.imdb.com/title/tt1663202/
X-Men 2;7.5;405973;1055.0;http://www.imdb.com/title/tt0290334/
Rise of the Planet of the Apes;7.6;403836;646.0;http://www.imdb.com/title/tt1318514/
Men in Black;7.3;403014;289.0;http://www.imdb.com/title/tt0119654/
Ocean's Eleven;7.8;402645;845.0;http://www.imdb.com/title/tt0240772/
Blood Diamond;8.0;400292;657.0;http://www.imdb.com/title/tt0450259/
Minority Report;7.7;399651;1331.0;http://www.imdb.com/title/tt0181689/
Whiplash;8.5;399138;731.0;http://www.imdb.com/title/tt2582802/
The Notebook;7.9;396396;1111.0;http://www.imdb.com/title/tt0332280/
Shaun of the Dead;8.0;395921;859.0;http://www.imdb.com/title/tt0365748/
Star Trek Into Darkness;7.8;395573;1171.0;http://www.imdb.com/title/tt1408101/
Birdman or (The Unexpected Virtue of Ignorance);7.8;395087;1101.0;http://www.imdb.com/title/tt2562232/
Cast Away;7.7;394317;1051.0;http://www.imdb.com/title/tt0162222/
Watchmen;7.7;392474;1229.0;http://www.imdb.com/title/tt0409459/
I, Robot;7.1;387632;789.0;http://www.imdb.com/title/tt0343818/
Harry Potter and the Chamber of Secrets;7.4;387616;858.0;http://www.imdb.com/title/tt0295297/
Oblivion;7.0;387436;892.0;http://www.imdb.com/title/tt1483013/
Zombieland;7.7;386217;553.0;http://www.imdb.com/title/tt1156398/
Despicable Me;7.7;385943;296.0;http://www.imdb.com/title/tt1323594/
Toy Story 2;7.9;385871;515.0;http://www.imdb.com/title/tt0120363/
Harry Potter and the Goblet of Fire;7.6;385670;1896.0;http://www.imdb.com/title/tt0330373/
Rain Man;8.0;383784;331.0;http://www.imdb.com/title/tt0095953/
Prisoners;8.1;383591;620.0;http://www.imdb.com/title/tt1392214/
X-Men: The Last Stand;6.8;383427;1912.0;http://www.imdb.com/title/tt0376994/
Spider-Man 3;6.2;383056;1902.0;http://www.imdb.com/title/tt0413300/
Harry Potter and the Prisoner of Azkaban;7.8;382255;1504.0;http://www.imdb.com/title/tt0304141/
Monty Python and the Holy Grail;8.3;382240;660.0;http://www.imdb.com/title/tt0071853/
Troy;7.2;381672;1694.0;http://www.imdb.com/title/tt0332452/
Pacific Rim;7.0;381148;1106.0;http://www.imdb.com/title/tt1663662/
Source Code;7.5;379462;571.0;http://www.imdb.com/title/tt0945513/
500 Days of Summer;7.7;376600;494.0;http://www.imdb.com/title/tt1022603/
The Hangover Part II;6.5;375879;402.0;http://www.imdb.com/title/tt1411697/
Crazy, Stupid, Love.;7.4;375456;292.0;http://www.imdb.com/title/tt1570728/
Rocky;8.1;375240;542.0;http://www.imdb.com/title/tt0075148/
There Will Be Blood;8.1;372990;1107.0;http://www.imdb.com/title/tt0469494/
Batman v Superman: Dawn of Justice;6.9;371639;3018.0;http://www.imdb.com/title/tt2975590/
Pirates of the Caribbean: On Stranger Tides;6.7;370704;484.0;http://www.imdb.com/title/tt1298650/
Mission: Impossible - Ghost Protocol;7.4;365104;512.0;http://www.imdb.com/title/tt1229238/
The Matrix Revolutions;6.7;364948;2121.0;http://www.imdb.com/title/tt0242653/
The Great Gatsby;7.3;362912;753.0;http://www.imdb.com/title/tt1343092/
X-Men Origins: Wolverine;6.7;361924;641.0;http://www.imdb.com/title/tt0458525/
Children of Men;7.9;361767;1206.0;http://www.imdb.com/title/tt0206634/
Crash;7.9;361169;1624.0;http://www.imdb.com/title/tt0375679/
American Hustle;7.3;358416;751.0;http://www.imdb.com/title/tt1800241/
Edward Scissorhands;7.9;357581;588.0;http://www.imdb.com/title/tt0099487/
The Butterfly Effect;7.7;357579;1100.0;http://www.imdb.com/title/tt0289879/
American Psycho;7.6;357275;1061.0;http://www.imdb.com/title/tt0144084/
Oldboy;8.4;356181;809.0;http://www.imdb.com/title/tt0364569/
Little Miss Sunshine;7.9;355810;889.0;http://www.imdb.com/title/tt0449059/
Harry Potter and the Order of the Phoenix;7.5;355137;1108.0;http://www.imdb.com/title/tt0373889/
Her;8.0;355126;748.0;http://www.imdb.com/title/tt1798709/
The Hobbit: The Battle of the Five Armies;7.5;354228;802.0;http://www.imdb.com/title/tt2310332/
Horrible Bosses;6.9;353442;387.0;http://www.imdb.com/title/tt1499658/
Hot Fuzz;7.9;352695;687.0;http://www.imdb.com/title/tt0425112/
The Perks of Being a Wallflower;8.0;351274;457.0;http://www.imdb.com/title/tt1659337/
Big Fish;8.0;350698;816.0;http://www.imdb.com/title/tt0319061/
Mr. & Mrs. Smith;6.5;348861;798.0;http://www.imdb.com/title/tt0356910/
The Bourne Supremacy;7.8;348232;806.0;http://www.imdb.com/title/tt0372183/
Twilight;5.2;348007;1535.0;http://www.imdb.com/title/tt1099212/
Inside Out;8.3;345198;773.0;http://www.imdb.com/title/tt2096673/
Hancock;6.4;343648;590.0;http://www.imdb.com/title/tt0448157/
The Fifth Element;7.7;343274;742.0;http://www.imdb.com/title/tt0119116/
Divergent;6.7;341058;713.0;http://www.imdb.com/title/tt1840309/
Back to the Future Part II;7.8;340085;327.0;http://www.imdb.com/title/tt0096874/
Sherlock Holmes: A Game of Shadows;7.5;338635;412.0;http://www.imdb.com/title/tt1515091/
Mystic River;8.0;338415;935.0;http://www.imdb.com/title/tt0327056/
The Pursuit of Happyness;8.0;338383;611.0;http://www.imdb.com/title/tt0454921/
Elysium;6.6;338087;814.0;http://www.imdb.com/title/tt1535108/
Live Free or Die Hard;7.2;336235;782.0;http://www.imdb.com/title/tt0337978/
War of the Worlds;6.5;334345;2741.0;http://www.imdb.com/title/tt0407304/
Indiana Jones and the Kingdom of the Crystal Skull;6.2;333847;2054.0;http://www.imdb.com/title/tt0367882/
Casino;8.2;333542;533.0;http://www.imdb.com/title/tt0112641/
The Day After Tomorrow;6.4;333248;1159.0;http://www.imdb.com/title/tt0319262/
Warrior;8.2;332276;514.0;http://www.imdb.com/title/tt1291584/
The Hurt Locker;7.6;332065;876.0;http://www.imdb.com/title/tt0887912/
Quantum of Solace;6.7;330784;1243.0;http://www.imdb.com/title/tt0830515/
The Girl with the Dragon Tattoo;7.8;330152;632.0;http://www.imdb.com/title/tt1568346/
Indiana Jones and the Temple of Doom;7.6;329969;524.0;http://www.imdb.com/title/tt0087469/
Ice Age;7.6;328159;467.0;http://www.imdb.com/title/tt0268380/
The Wolverine;6.7;328067;533.0;http://www.imdb.com/title/tt1430132/
Lucy;6.4;327367;918.0;http://www.imdb.com/title/tt2872732/
Dallas Buyers Club;8.0;326494;340.0;http://www.imdb.com/title/tt0790636/
The Incredible Hulk;6.8;326286;643.0;http://www.imdb.com/title/tt0800080/
Transformers: Dark of the Moon;6.3;326180;899.0;http://www.imdb.com/title/tt1399103/
American Sniper;7.3;325264;916.0;http://www.imdb.com/title/tt2179136/
American Gangster;7.8;324671;458.0;http://www.imdb.com/title/tt0765429/
Captain Phillips;7.9;323353;527.0;http://www.imdb.com/title/tt1535109/
Transformers: Revenge of the Fallen;6.0;323207;1439.0;http://www.imdb.com/title/tt1055369/
Armageddon;6.6;322395;1171.0;http://www.imdb.com/title/tt0120591/
Harry Potter and the Half-Blood Prince;7.5;321795;973.0;http://www.imdb.com/title/tt0417741/
Lost in Translation;7.8;321283;1848.0;http://www.imdb.com/title/tt0335266/
The Amazing Spider-Man 2;6.7;321227;1067.0;http://www.imdb.com/title/tt1872181/
Charlie and the Chocolate Factory;6.7;320284;1361.0;http://www.imdb.com/title/tt0367594/
The Help;8.1;318955;460.0;http://www.imdb.com/title/tt1454029/
Love Actually;7.7;318634;1004.0;http://www.imdb.com/title/tt0314331/
Dawn of the Planet of the Apes;7.6;317542;620.0;http://www.imdb.com/title/tt2103281/
The Last Samurai;7.7;317166;928.0;http://www.imdb.com/title/tt0325710/
We're the Millers;7.0;316671;301.0;http://www.imdb.com/title/tt1723121/
King Kong;7.2;316018;2618.0;http://www.imdb.com/title/tt0360717/
American Pie;7.0;315549;789.0;http://www.imdb.com/title/tt0163651/
Shrek 2;7.2;314630;483.0;http://www.imdb.com/title/tt0298148/
The Da Vinci Code;6.6;314253;1966.0;http://www.imdb.com/title/tt0382625/
Gangs of New York;7.5;314033;1166.0;http://www.imdb.com/title/tt0217505/
Ant-Man;7.4;313866;549.0;http://www.imdb.com/title/tt0478970/
The 40-Year-Old Virgin;7.1;313797;546.0;http://www.imdb.com/title/tt0405422/
Rush;8.1;312629;475.0;http://www.imdb.com/title/tt1979320/
Home Alone;7.5;311075;305.0;http://www.imdb.com/title/tt0099785/
The Maze Runner;6.8;310903;524.0;http://www.imdb.com/title/tt1790864/
This Is the End;6.7;310540;669.0;http://www.imdb.com/title/tt1245492/
In Bruges;8.0;307639;513.0;http://www.imdb.com/title/tt0780536/
Tropic Thunder;7.0;307539;577.0;http://www.imdb.com/title/tt0942385/
Kung Fu Panda;7.6;307029;360.0;http://www.imdb.com/title/tt0441773/
Alice in Wonderland;6.5;306320;736.0;http://www.imdb.com/title/tt1014759/
Training Day;7.7;305929;633.0;http://www.imdb.com/title/tt0139654/
Terminator 3: Rise of the Machines;6.4;305340;1676.0;http://www.imdb.com/title/tt0181852/
The Hunger Games: Mockingjay - Part 1;6.7;305008;591.0;http://www.imdb.com/title/tt1951265/
In Time;6.7;304318;463.0;http://www.imdb.com/title/tt1637688/
The Terminal;7.3;303864;596.0;http://www.imdb.com/title/tt0362227/
Fury;7.6;303185;701.0;http://www.imdb.com/title/tt2713180/
Zodiac;7.7;301279;589.0;http://www.imdb.com/title/tt0443706/
Midnight in Paris;7.7;301149;509.0;http://www.imdb.com/title/tt1605783/
Mission: Impossible;7.1;300542;378.0;http://www.imdb.com/title/tt0117060/
The Conjuring;7.5;300110;807.0;http://www.imdb.com/title/tt1457767/
Wanted;6.7;299852;713.0;http://www.imdb.com/title/tt0493464/
Die Hard with a Vengeance;7.6;299258;346.0;http://www.imdb.com/title/tt0112864/
Saw;7.7;299127;1509.0;http://www.imdb.com/title/tt0387564/
Knocked Up;7.0;298590;559.0;http://www.imdb.com/title/tt0478311/
28 Days Later...;7.6;297250;1441.0;http://www.imdb.com/title/tt0289043/
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan;7.3;297014;1198.0;http://www.imdb.com/title/tt0443453/
Bruce Almighty;6.7;296904;604.0;http://www.imdb.com/title/tt0315327/
Cloverfield;7.0;296787;2192.0;http://www.imdb.com/title/tt1060277/
The Illusionist;7.6;295375;645.0;http://www.imdb.com/title/tt0443543/
Tangled;7.8;294810;387.0;http://www.imdb.com/title/tt0398286/
The Princess Bride;8.1;294163;718.0;http://www.imdb.com/title/tt0093779/
Collateral;7.6;293662;836.0;http://www.imdb.com/title/tt0369339/
Nightcrawler;7.9;293304;552.0;http://www.imdb.com/title/tt2872718/
Black Hawk Down;7.7;292022;1103.0;http://www.imdb.com/title/tt0265086/
The Wizard of Oz;8.1;291875;533.0;http://www.imdb.com/title/tt0032138/
Platoon;8.1;291603;505.0;http://www.imdb.com/title/tt0091763/
Predator;7.8;290949;629.0;http://www.imdb.com/title/tt0093773/
Ex Machina;7.7;289508;611.0;http://www.imdb.com/title/tt0470752/
Dumb & Dumber;7.3;288451;438.0;http://www.imdb.com/title/tt0109686/
Super 8;7.1;287822;849.0;http://www.imdb.com/title/tt1650062/
Despicable Me 2;7.5;286877;284.0;http://www.imdb.com/title/tt1690953/
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;6.9;286506;1463.0;http://www.imdb.com/title/tt0363771/
The Devil Wears Prada;6.8;286178;631.0;http://www.imdb.com/title/tt0458352/
Terminator Salvation;6.6;286095;974.0;http://www.imdb.com/title/tt0438488/
The Italian Job;7.0;285623;497.0;http://www.imdb.com/title/tt0317740/
Ocean's Twelve;6.4;284852;627.0;http://www.imdb.com/title/tt0349903/
Cloud Atlas;7.5;284825;828.0;http://www.imdb.com/title/tt1371111/
Fast Five;7.3;284792;366.0;http://www.imdb.com/title/tt1596343/
The Exorcist;8.0;284252;1058.0;http://www.imdb.com/title/tt0070047/
Face/Off;7.3;283967;535.0;http://www.imdb.com/title/tt0119094/
Moneyball;7.6;283563;312.0;http://www.imdb.com/title/tt1210166/
Back to the Future Part III;7.4;283480;263.0;http://www.imdb.com/title/tt0099088/
2012;5.8;283418;1055.0;http://www.imdb.com/title/tt1190080/
E.T. the Extra-Terrestrial;7.9;281842;515.0;http://www.imdb.com/title/tt0083866/
The Machinist;7.7;281649;458.0;http://www.imdb.com/title/tt0361862/
The Town;7.6;280228;420.0;http://www.imdb.com/title/tt0840361/
127 Hours;7.6;279179;440.0;http://www.imdb.com/title/tt1542344/
Big Hero 6;7.9;279093;433.0;http://www.imdb.com/title/tt2245084/
The Lost World: Jurassic Park;6.5;278362;552.0;http://www.imdb.com/title/tt0119567/
Furious 7;7.2;278232;657.0;http://www.imdb.com/title/tt2820852/
Unforgiven;8.3;277505;495.0;http://www.imdb.com/title/tt0105695/
Dead Poets Society;8.0;277451;491.0;http://www.imdb.com/title/tt0097165/
The Cabin in the Woods;7.0;277172;986.0;http://www.imdb.com/title/tt1259521/
Easy A;7.1;276746;264.0;http://www.imdb.com/title/tt1282140/
The Fighter;7.9;275869;389.0;http://www.imdb.com/title/tt0964517/
Spectre;6.8;275868;994.0;http://www.imdb.com/title/tt2379713/
Scott Pilgrim vs. the World;7.5;273921;522.0;http://www.imdb.com/title/tt0446029/
Brave;7.2;273556;428.0;http://www.imdb.com/title/tt1217209/
Inside Man;7.6;273108;646.0;http://www.imdb.com/title/tt0454848/
The Hateful Eight;7.9;272839;1018.0;http://www.imdb.com/title/tt3460252/
Due Date;6.6;272789;285.0;http://www.imdb.com/title/tt1231583/
Captain America: Civil War;8.2;272670;1022.0;http://www.imdb.com/title/tt3498820/
Wreck-It Ralph;7.8;272534;345.0;http://www.imdb.com/title/tt1772341/
The Fast and the Furious;6.7;272223;988.0;http://www.imdb.com/title/tt0232500/
Stand by Me;8.1;271794;584.0;http://www.imdb.com/title/tt0092005/
Yes Man;6.8;271691;243.0;http://www.imdb.com/title/tt1068680/
Signs;6.7;271592;2335.0;http://www.imdb.com/title/tt0286106/
Amadeus;8.3;270790;549.0;http://www.imdb.com/title/tt0086879/
50/50;7.7;270441;378.0;http://www.imdb.com/title/tt1306980/
Up in the Air;7.4;270238;452.0;http://www.imdb.com/title/tt1193138/
Friends with Benefits;6.6;270228;194.0;http://www.imdb.com/title/tt1632708/
The Expendables;6.5;270226;741.0;http://www.imdb.com/title/tt1320253/
Men in Black II;6.1;270207;606.0;http://www.imdb.com/title/tt0120912/
Die Hard 2;7.1;269858;316.0;http://www.imdb.com/title/tt0099423/
Batman;7.6;269033;817.0;http://www.imdb.com/title/tt0096895/
The Others;7.6;268581;1109.0;http://www.imdb.com/title/tt0230600/
